Hospital,Paracetamol,Amoxicillin,Insulin,Salbutamol,ORS,Minimum Stock
Kandy General Hospital,500,250,80,120,300,100
Matale District Hospital,300,100,5,70,150,50
Kurunegala Teaching Hospital,450,220,60,90,280,100
Badulla General Hospital,280,130,25,80,170,60
Anuradhapura Teaching Hospital,520,260,90,150,320,100
Polonnaruwa General Hospital,260,110,15,75,180,60
Nuwara Eliya District Hospital,240,95,12,65,140,50
Ratnapura General Hospital,350,170,35,95,210,70
Monaragala District Hospital,210,80,8,55,120,50
Hambantota General Hospital,380,190,45,100,250,80
